--------- beginning of events
12-15 10:38:22.610   251   251 I auditd  : type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
--------- beginning of system
12-15 10:38:28.884   254   254 I vold    : Vold 3.0 (the awakening) firing up
12-15 10:38:28.885   254   254 V vold    : Detected support for: exfat ext4 ntfs vfat
12-15 10:38:28.890   254   254 W Vold    : Tearing down stale mount /storage/usbotg
12-15 10:38:28.890   254   254 W Vold    : Tearing down stale mount /mnt/media_rw
12-15 10:38:29.201   254   264 V vold    : /system/bin/sgdisk
12-15 10:38:29.201   254   264 V vold    :     --android-dump
12-15 10:38:29.201   254   264 V vold    :     /dev/block/vold/disk:179_128
12-15 10:38:29.205   254   266 D vold    : e4crypt_init_user0
12-15 10:38:29.206   254   266 D vold    : e4crypt_prepare_user_storage for volume null, user 0, serial 0, flags 1
12-15 10:38:29.206   254   266 D vold    : Preparing: /data/system/users/0
12-15 10:38:29.208   254   266 D vold    : Preparing: /data/misc/profiles/cur/0
12-15 10:38:29.209   254   266 D vold    : Preparing: /data/misc/profiles/cur/0/foreign-dex
12-15 10:38:29.210   254   266 D vold    : Preparing: /data/system_de/0
12-15 10:38:29.210   254   266 D vold    : Preparing: /data/misc_de/0
12-15 10:38:29.211   254   266 D vold    : Preparing: /data/user_de/0
12-15 10:38:29.213   254   266 D vold    : e4crypt_unlock_user_key 0 serial=0 token_present=0
12-15 10:38:29.526   254   264 V vold    : DISK gpt CBC83FD9-4235-4453-8D69-6B98D2518C8B
12-15 10:38:29.526   254   264 V vold    : 
12-15 10:38:29.527   254   264 V vold    : PART 1 EBD0A0A2-B9E5-4433-87C0-68B6B72699C7 6364D990-56C9-45B7-991C-554740580B3D Microsoft basic data
12-15 10:38:29.527   254   264 V vold    : 
12-15 10:38:30.160   256   256 I auditd  : type=1400 audit(0.0:3): avc: denied { read write } for comm="logd.daemon" name="mmcblk0p6" dev="tmpfs" ino=325 scontext=u:r:logd:s0 tcontext=u:object_r:block_device:s0 tclass=blk_file permissive=1
12-15 10:38:30.160   256   256 I auditd  : type=1400 audit(0.0:4): avc: denied { open } for comm="logd.daemon" path="/dev/block/mmcblk0p6" dev="tmpfs" ino=325 scontext=u:r:logd:s0 tcontext=u:object_r:block_device:s0 tclass=blk_file permissive=1
12-15 10:38:31.000   281   281 I auditd  : type=1400 audit(0.0:5): avc: denied { write } for comm="surfaceflinger" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:31.000   281   281 I auditd  : type=1400 audit(0.0:6): avc: denied { open } for comm="surfaceflinger" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.220   295   295 I auditd  : type=1400 audit(0.0:7): avc: denied { write } for comm="cameraserver" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:cameraserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.220   295   295 I auditd  : type=1400 audit(0.0:8): avc: denied { open } for comm="cameraserver" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:cameraserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.280   403   403 I auditd  : type=1400 audit(0.0:9): avc: denied { read } for comm="nvram_daemon" name="boot_mode" dev="sysfs" ino=117 scontext=u:r:nvram_daemon:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=1
12-15 10:38:32.280   403   403 I auditd  : type=1400 audit(0.0:10): avc: denied { open } for comm="nvram_daemon" path="/sys/devices/virtual/BOOT/BOOT/boot/boot_mode" dev="sysfs" ino=117 scontext=u:r:nvram_daemon:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=1
12-15 10:38:32.625   294   294 I liblog  : 196
12-15 10:38:32.716   294   415 I liblog  : 115
12-15 10:38:33.070   293   293 I boot_progress_start: 12853
12-15 10:39:08.623   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 51 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.623   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 51/51 bytes of frame to /dev/pts/5
12-15 10:39:08.623   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.624   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.624   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.625   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.625   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.629   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.629   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.629   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.629   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 32
12-15 10:39:08.630   532   559 I WindowManager: Screen frozen for +143ms due to AppWindowToken{39e4628 token=Token{510591a ActivityRecord{d7fabc5 u0 com.android.settings/.FallbackHome t1}}}
12-15 10:39:08.656   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:29
12-15 10:39:08.656   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 29 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.656   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 29/29 bytes of frame to /dev/pts/5
12-15 10:39:08.656   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.657   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.657   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.657   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.657   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.659   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.659   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.659   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.659   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 32
12-15 10:39:08.687   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:29
12-15 10:39:08.687   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 29 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.687   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 29/29 bytes of frame to /dev/pts/5
12-15 10:39:08.687   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.688   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.688   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.688   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.688   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.690   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.690   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.690   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.690   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 33
12-15 10:39:08.714   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:41
12-15 10:39:08.714   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 41 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.715   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 41/41 bytes of frame to /dev/pts/5
12-15 10:39:08.715   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.715   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.715   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.715   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.715   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.721   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.721   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.721   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.721   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 25
12-15 10:39:08.744   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:41
12-15 10:39:08.744   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 41 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.744   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 41/41 bytes of frame to /dev/pts/5
12-15 10:39:08.744   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.745   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.745   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.745   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.745   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.747   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.747   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.747   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.747   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 35
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:121
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 121 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 121/121 bytes of frame to /dev/pts/5
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.773   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.775   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.775   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.775   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.775   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 35
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:121
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 121 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 121/121 bytes of frame to /dev/pts/5
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.803   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.805   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.805   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.805   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.805   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 35
12-15 10:39:08.832   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:121
12-15 10:39:08.833   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 121 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.833   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 121/121 bytes of frame to /dev/pts/5
12-15 10:39:08.833   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.833   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.833   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.833   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.833   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.835   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.835   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.835   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.835   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 35
12-15 10:39:08.860   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:41
12-15 10:39:08.860   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 41 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.860   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 41/41 bytes of frame to /dev/pts/5
12-15 10:39:08.860   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.861   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.861   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.861   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.861   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.863   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.863   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.863   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.863   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 35
12-15 10:39:08.892   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:121
12-15 10:39:08.892   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 121 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.892   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 121/121 bytes of frame to /dev/pts/5
12-15 10:39:08.892   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.893   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.893   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.893   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.893   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.894   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.894   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.895   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.895   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 36
12-15 10:39:08.897   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.897   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.897   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.898   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.901   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.901   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.901   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.901   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 10
12-15 10:39:08.938   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.939   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.939   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.939   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.940   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.940   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.940   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.941   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 32
12-15 10:39:08.979   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:2, ctrl:239, len:2
12-15 10:39:08.979   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 2 byte frame received on channel 2 to /dev/pts/2
12-15 10:39:08.980   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 2/2 bytes of frame to /dev/pts/2
12-15 10:39:08.980   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.980   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:2, ctrl:239, len:51
12-15 10:39:08.980   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 51 byte frame received on channel 2 to /dev/pts/2
12-15 10:39:08.980   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 51/51 bytes of frame to /dev/pts/2
12-15 10:39:08.981   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.981   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:2, ctrl:239, len:2
12-15 10:39:08.981   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 2 byte frame received on channel 2 to /dev/pts/2
12-15 10:39:08.981   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 2/2 bytes of frame to /dev/pts/2
12-15 10:39:08.981   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.992   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:17
12-15 10:39:08.992   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 17 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.992   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 17/17 bytes of frame to /dev/pts/5
12-15 10:39:08.992   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.993   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:5, ctrl:239, len:6
12-15 10:39:08.993   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 6 byte frame received on channel 5 to /dev/pts/5
12-15 10:39:08.993   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 6/6 bytes of frame to /dev/pts/5
12-15 10:39:08.993   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:08.994   424   480 D RILMUXD : [gsm0710muxd] 3614:poll_thread(): poll_thread select found
12-15 10:39:08.994   424   480 D RILMUXD : [gsm0710muxd] 1045:pseudo_device_read(): Enter, LackofAtciChannel=0
12-15 10:39:08.995   424   480 D RILMUXD : [gsm0710muxd] 657:write_frame(): Sending frame to channel 5
12-15 10:39:08.995   424   480 D RILMUXD : [gsm0710muxd] 766:write_frame(): Write a frame on channel 5 with length 35
12-15 10:39:09.003   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:2, ctrl:239, len:14
12-15 10:39:09.003   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 14 byte frame received on channel 2 to /dev/pts/2
12-15 10:39:09.003   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 14/14 bytes of frame to /dev/pts/2
12-15 10:39:09.003   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:2, ctrl:239, len:2
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 2 byte frame received on channel 2 to /dev/pts/2
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 2/2 bytes of frame to /dev/pts/2
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:2, ctrl:239, len:43
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 43 byte frame received on channel 2 to /dev/pts/2
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 2403:extract_frames(): write() returned. Written 43/43 bytes of frame to /dev/pts/2
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 2408:extract_frames(): fsync() failed (-1, 22 - Invalid argument)
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 1643:gsm0710_base_buffer_get_frame(): Get a complete frame. ch:2, ctrl:239, len:2
12-15 10:39:09.004   424   474 D RILMUXD : [gsm0710muxd] 2383:extract_frames(): Writing 2 byte frame received on channel 2 to /dev/pts/2
